year,city,country,avg_temp
1996,Lahore,Pakistan,24.43
1997,Lahore,Pakistan,23.76
1998,Lahore,Pakistan,24.91
1999,Lahore,Pakistan,25.50
2000,Lahore,Pakistan,25.32
2001,Lahore,Pakistan,25.18
2002,Lahore,Pakistan,25.61
2003,Lahore,Pakistan,24.71
2004,Lahore,Pakistan,25.55
2005,Lahore,Pakistan,24.66
2006,Lahore,Pakistan,25.17
2007,Lahore,Pakistan,25.16
2008,Lahore,Pakistan,24.89
2009,Lahore,Pakistan,25.37
2010,Lahore,Pakistan,25.48
2011,Lahore,Pakistan,24.98
2012,Lahore,Pakistan,24.87
2013,Lahore,Pakistan,25.95
